epoch,update_batch_id,sample_in_batch_id,advantage_value,policy_ratio_value,clipped_surrogate_objective_value
3,3,30,-0.66463387,0.8354313,0.55525595
3,3,31,-1.0725248,0.682084,0.8580198
3,3,32,-1.0983865,0.79294926,0.87870926
3,3,33,-1.6108773,0.40999848,1.2887019
3,3,34,-1.8059901,0.7855144,1.4447922
3,3,35,-1.8964202,0.739356,1.5171362
3,3,36,-2.1170986,0.08998034,1.6936789
3,3,37,-1.8477719,0.12540767,1.4782175
3,3,38,-1.563312,0.4208419,1.2506497
3,3,39,-1.6286002,0.6115918,1.3028802
4,4,0,1.1011711,1.0729252,-1.1814743
4,4,1,1.6360129,1.1891557,-1.945474
4,4,2,1.5157107,1.2046231,-1.8188529
4,4,3,1.7246855,1.2702055,-2.0696228
4,4,4,1.2679241,0.8817339,-1.1179717
4,4,5,1.2365389,1.2619536,-1.4838467
4,4,6,1.4187183,1.4506838,-1.7024621
4,4,7,1.6764196,1.3734038,-2.0117037
4,4,8,2.0681572,1.2483763,-2.4817886
4,4,9,1.1967154,0.96138525,-1.1505045
4,4,10,1.0108678,2.812975,-1.2130414
4,4,11,1.0537373,1.1825703,-1.2461184
4,4,12,-0.16062537,1.2087603,0.19415756
4,4,13,0.083158396,0.8862281,-0.073697306
4,4,14,-0.3878251,0.84982854,0.32958484
4,4,15,-0.40778574,0.86014783,0.35075602
4,4,16,-0.7990736,0.9088304,0.72622234
4,4,17,-0.8380961,0.8116904,0.68027455
4,4,18,-0.88365567,0.771492,0.70692456
4,4,19,-0.8377451,0.5122124,0.67019606
4,4,20,-1.1600914,0.9194386,1.0666329
4,4,21,-0.59778595,0.5226572,0.47822878
4,4,22,-0.19706215,0.80893856,0.15941118
4,4,23,-0.022742152,0.7607693,0.018193722
4,4,24,-0.20554414,0.81362563,0.16723599
4,4,25,-0.4182219,0.6148683,0.33457753
4,4,26,-0.122362606,0.59278446,0.09789009
4,4,27,-0.39909968,0.7357459,0.31927976
4,4,28,-0.48236635,0.99630183,0.48058248
4,4,29,-0.71273905,0.99736845,0.7108635
