epoch,update_batch_id,spo_max_term_val_mean,spo_term_2_r_hat_w_star_c_mean,spo_term_r_true_w_star_c_mean,total_spo_plus_loss
1,1,1.3584139347076416,-1.3766052722930908,0.0,-0.018191495910286903
2,2,1.3368793725967407,-1.3188292980194092,0.0,0.018050160259008408
3,3,1.234531283378601,-1.3412344455718994,0.0,-0.1067030280828476
4,4,1.3790833950042725,-1.3271450996398926,0.0,0.05193842574954033
5,5,1.218437910079956,-1.3437259197235107,0.0,-0.12528802454471588
6,6,1.197699785232544,-1.3082454204559326,0.0,-0.1105457991361618
7,7,0.9748071432113647,-1.015535831451416,0.0,-0.04072871431708336
8,8,1.1890733242034912,-1.1142175197601318,0.0,0.0748557597398758
9,9,1.5254684686660767,-1.2970272302627563,0.0,0.2284412682056427
10,10,1.3310309648513794,-1.3581174612045288,0.0,-0.027086591348052025
11,11,1.3992550373077393,-1.4995474815368652,0.0,-0.10029234737157822
12,12,1.952264428138733,-1.5850471258163452,0.0,0.36721712350845337
13,13,2.355787754058838,-2.2260794639587402,0.0,0.12970833480358124
14,14,1.2052730321884155,-1.1876649856567383,0.0,0.017608020454645157
15,15,1.2643245458602905,-1.2634855508804321,0.0,0.0008390009170398116
16,16,1.3744808435440063,-1.2940281629562378,0.0,0.08045260608196259
17,17,1.3787167072296143,-1.3368430137634277,0.0,0.04187359660863876
18,18,1.394537091255188,-1.2269420623779297,0.0,0.16759511828422546
19,19,1.2787413597106934,-1.3026690483093262,0.0,-0.023927703499794006
20,20,1.5905532836914062,-1.5470664501190186,0.0,0.04348693788051605
21,21,2.3691840171813965,-2.124234199523926,0.0,0.24495002627372742
22,22,1.276434302330017,-1.2208298444747925,0.0,0.05560420826077461
23,23,1.4152774810791016,-1.2209522724151611,0.0,0.194325253367424
24,24,1.4561388492584229,-1.3973556756973267,0.0,0.05878327041864395
25,25,1.567495346069336,-1.442908525466919,0.0,0.12458674609661102
26,26,1.879762053489685,-1.714440107345581,0.0,0.1653219312429428
27,27,2.8639729022979736,-2.261113405227661,0.0,0.6028598546981812
28,28,1.3846142292022705,-1.2152725458145142,0.0,0.1693417876958847
29,29,1.7308986186981201,-1.6204217672348022,0.0,0.11047689616680145
30,30,1.524062991142273,-1.423473596572876,0.0,0.10058935731649399
31,31,1.3032300472259521,-1.242327332496643,0.0,0.060902584344148636
32,32,2.0671818256378174,-1.9811336994171143,0.0,0.0860482007265091
33,33,1.7481918334960938,-1.8181244134902954,0.0,-0.06993267685174942
34,34,1.6130692958831787,-1.4685428142547607,0.0,0.14452627301216125
35,35,1.6753841638565063,-1.572255253791809,0.0,0.10312899202108383
36,36,1.6782499551773071,-1.6312010288238525,0.0,0.04704909399151802
37,37,2.880730152130127,-2.2467918395996094,0.0,0.6339381337165833
38,38,2.6181275844573975,-2.0581812858581543,0.0,0.5599461793899536
39,39,1.633639931678772,-1.561098337173462,0.0,0.07254155725240707
40,40,1.147505521774292,-0.9970504641532898,0.0,0.15045496821403503
41,41,1.5388376712799072,-1.4242756366729736,0.0,0.11456184089183807
42,42,1.6328849792480469,-1.6907284259796143,0.0,-0.05784344673156738
43,43,2.0905041694641113,-1.9656448364257812,0.0,0.12485937774181366
44,44,1.4040824174880981,-1.3039774894714355,0.0,0.10010498762130737
45,45,1.8537638187408447,-1.7831395864486694,0.0,0.0706242173910141
46,46,1.5243570804595947,-1.3192654848098755,0.0,0.20509156584739685
47,47,1.452019214630127,-1.3620988130569458,0.0,0.08992034196853638
48,48,3.7680869102478027,-2.7593560218811035,0.0,1.0087308883666992
49,49,2.069730043411255,-2.1166677474975586,0.0,-0.046937890350818634
50,50,1.529085397720337,-1.717389464378357,0.0,-0.18830418586730957
51,51,1.445261836051941,-1.26583993434906,0.0,0.1794218271970749
52,52,1.7895877361297607,-1.5610902309417725,0.0,0.22849754989147186
53,53,1.7622547149658203,-1.5667228698730469,0.0,0.1955316662788391
54,54,1.7247453927993774,-1.379286289215088,0.0,0.345458984375
55,55,3.795396327972412,-2.862231969833374,0.0,0.9331645965576172
56,56,4.077428340911865,-3.0781891345977783,0.0,0.9992389678955078
57,57,2.330193519592285,-2.305502414703369,0.0,0.02469143271446228
58,58,1.6948591470718384,-1.5129060745239258,0.0,0.18195299804210663
59,59,1.9430710077285767,-1.7795861959457397,0.0,0.1634848266839981
60,60,2.6494483947753906,-2.7987265586853027,0.0,-0.14927807450294495
61,61,1.8267961740493774,-1.8732357025146484,0.0,-0.046439532190561295
62,62,1.9365689754486084,-2.3013429641723633,0.0,-0.36477380990982056
63,63,1.8357970714569092,-1.7538607120513916,0.0,0.081936314702034
64,64,2.7991783618927,-2.7962727546691895,0.0,0.0029058039654046297
65,65,2.646898031234741,-2.0179145336151123,0.0,0.6289836168289185
66,66,1.7242799997329712,-1.5561400651931763,0.0,0.16814002394676208
67,67,1.8285611867904663,-1.8401161432266235,0.0,-0.011555075645446777
68,68,1.846893548965454,-1.5268471240997314,0.0,0.32004642486572266
69,69,1.802791953086853,-1.650140404701233,0.0,0.1526518613100052
70,70,1.8374236822128296,-1.7681363821029663,0.0,0.06928735971450806
71,71,2.8749465942382812,-3.0708651542663574,0.0,-0.19591908156871796
72,72,2.298621416091919,-2.3192977905273438,0.0,-0.02067672088742256
73,73,2.0562663078308105,-1.7975647449493408,0.0,0.2587014436721802
74,74,2.3943934440612793,-2.1619744300842285,0.0,0.23241886496543884
75,75,5.275139808654785,-4.827059268951416,0.0,0.4480809271335602
76,76,2.698333263397217,-2.457120895385742,0.0,0.24121245741844177
