Price,Close,High,Low,Open,Volume
Ticker,SHV,SHV,SHV,SHV,SHV
Date,,,,,
2007-01-11,84.80821990966797,84.80821990966797,84.80821990966797,84.80821990966797,900
2007-01-12,84.85507202148438,84.85507202148438,84.85507202148438,84.85507202148438,1100
2007-01-16,84.8394546508789,84.8550620777652,84.8394546508789,84.8550620777652,500
2007-01-17,84.88631439208984,84.88631439208984,84.88631439208984,84.88631439208984,8200
2007-01-18,84.87847137451172,84.88627508833262,84.85506618553853,84.88627508833262,23100
2007-01-19,84.8628921508789,84.89410106404522,84.8628921508789,84.87849958370784,13400
2007-01-22,84.8940658569336,84.90967328328983,84.88626809624455,84.90186957011171,3000
2007-01-23,84.90188598632812,84.90968970101514,84.89408227164111,84.89408227164111,2300
2007-01-24,84.94873046875,84.9565341865695,84.94093270342312,84.94093270342312,4300
2007-01-25,84.94873046875,84.964337904389,84.9331289856036,84.9565341865695,31300
2007-01-26,84.94092559814453,84.98773599616064,84.94092559814453,84.98773599616064,94800
2007-01-29,85.00334167480469,85.01894910990872,85.00334167480469,85.01894910990872,19900
2007-01-30,85.00334167480469,85.01894910990872,84.98774019219309,84.9955439097451,5500
2007-01-31,85.04232025146484,85.04232025146484,85.01111134624807,85.01891506067477,2500
2007-02-01,85.04547882080078,85.0767779001814,85.03765255853338,85.0767779001814,11400
2007-02-02,85.06892395019531,85.09239675966873,85.06109769047515,85.06892395019531,35400
2007-02-05,85.09239196777344,85.10803851664559,85.06891915962186,85.10803851664559,8700
2007-02-06,85.08456420898438,85.10021672726738,85.07674391952949,85.10021672726738,10400
2007-02-07,85.13155364990234,85.14720020545634,85.09242830648343,85.14720020545634,8500
2007-02-08,85.1236801147461,85.13932666161097,85.1236801147461,85.13932666161097,4500
2007-02-09,85.14717102050781,85.16281757069882,85.08457288036932,85.15499728044692,25400
2007-02-12,85.14717102050781,85.14717102050781,85.13934476056869,85.14717102050781,8500
2007-02-13,85.14717102050781,85.15499728044692,85.13152447031679,85.13152447031679,1500
2007-02-14,85.20193481445312,85.20976107364947,85.19410855525678,85.19410855525678,24600
2007-02-15,85.20976257324219,85.24106164089177,85.17846350559262,85.20976257324219,32200
2007-02-16,85.22538757324219,85.24104008795265,85.20191477086172,85.23321383059742,25200
2007-02-20,85.23323059082031,85.2410568497145,85.21758404271836,85.21758404271836,15000
2007-02-21,85.26457214355469,85.28021869945324,85.18632742468317,85.2332730620682,74300
2007-02-22,85.26457214355469,85.26457214355469,85.25674588076072,85.25674588076072,3200
2007-02-23,85.30366516113281,85.31149142150863,85.2645457986288,85.2645457986288,8700
2007-02-26,85.31150817871094,85.32716070253711,85.29586162457349,85.32716070253711,268100
2007-02-27,85.32711791992188,85.33493820822518,85.30363914595476,85.33493820822518,16600
2007-02-28,85.38191986083984,85.40539267338914,85.33496826605344,85.33496826605344,296600
2007-03-01,85.37955474853516,85.39523823624326,85.33249830163076,85.38739948427927,32500
2007-03-02,85.42660522460938,85.45013344641708,85.38739351618976,85.41876647319329,24800
2007-03-05,85.41098022460938,85.42666372196082,85.39529074347413,85.42666372196082,31200
2007-03-06,85.41879272460938,85.45015970747308,85.38741975796412,85.41879272460938,11000
2007-03-07,85.45018005371094,85.45018005371094,85.43449655854475,85.45018005371094,17600
2007-03-08,85.45799255371094,85.46583729022605,85.44230906446143,85.46583729022605,18100
2007-03-09,85.45018005371094,85.47371427213469,85.41881306337856,85.45018005371094,52900
2007-03-12,85.47368621826172,85.47368621826172,85.44231325444349,85.47368621826172,10800
2007-03-13,85.52854919433594,85.52854919433594,85.47364802812946,85.48933151114059,126800
2007-03-14,85.53643798828125,85.54428272626566,85.51290975810984,85.54428272626566,22400
2007-03-15,85.52854919433594,85.53638794395233,85.50501499415174,85.53638794395233,16600
2007-03-16,85.54428100585938,85.54428100585938,85.52075277616115,85.54428100585938,14500
2007-03-19,85.54428100585938,85.55996449773095,85.41095038171498,85.55212574368602,108600
2007-03-20,85.56777954101562,85.57562427611992,85.55209605458668,85.57562427611992,4100
2007-03-21,85.62271881103516,85.64624704303564,85.57566234703421,85.60703531762894,140500
2007-03-22,85.59917449951172,85.63054746421315,85.59132976239107,85.6227027270925,28400
2007-03-23,85.63057708740234,85.64626058328805,85.60704885168218,85.62273234756788,572400
2007-03-26,85.6384048461914,85.64624360068831,85.60703187685763,85.6148766151366,10600
2007-03-27,85.66187286376953,85.67755634552115,85.62265518372371,85.62265518372371,394600
2007-03-28,85.6854248046875,85.70895302571884,85.66189658365614,85.66189658365614,20100
2007-03-29,85.70897674560547,85.71682148271346,85.69329325517069,85.7011320084975,22800
2007-03-30,85.70897674560547,85.72466621982143,85.66976502762792,85.72466621982143,202600
2007-04-02,85.71292114257812,85.73651089491065,85.6421518855805,85.70505589199115,23000
2007-04-03,85.72862243652344,85.76794267938544,85.69717344154593,85.75221818189668,25000
2007-04-04,85.77582550048828,85.79941525126755,85.76009500035013,85.76796025041921,20800
2007-04-05,85.76795196533203,85.79940696314186,85.75222746614081,85.78367646452325,16400
2007-04-09,85.77582550048828,85.7836847511294,85.75223574970902,85.76796025041921,34400
2007-04-10,85.79940032958984,85.80726557829104,85.77581058291315,85.77581058291315,18000
2007-04-11,85.82298278808594,85.86230302882592,85.81511754005265,85.81511754005265,11700
2007-04-12,85.84657287597656,85.8544381240413,85.83084837927356,85.83871362733828,31500
2007-04-13,85.86228942871094,85.86228942871094,85.83083444098654,85.846558935136,52000
2007-04-16,85.87804412841797,85.87804412841797,85.83872987950372,85.86231962873778,40100
2007-04-17,85.88591766357422,85.89378291388687,85.86232791206439,85.88591766357422,20200
2007-04-18,85.94095611572266,85.94095611572266,85.91736636594244,85.91736636594244,31800
2007-04-19,85.94880676269531,85.94880676269531,85.9252110174963,85.93307626589596,78000
2007-04-20,85.94095611572266,85.96454586550288,85.90950111620646,85.94882136545864,70700
2007-04-23,85.97236633300781,85.98022557922226,85.95663584172972,85.95663584172972,21400
2007-04-24,85.98026275634766,86.00385850346738,85.96453825769501,85.98026275634766,15200
2007-04-25,86.00383758544922,86.01956208027731,85.9723825963673,85.9881070911954,42800
2007-04-26,85.98026275634766,86.02744825115994,85.98026275634766,86.01958300212002,844500
2007-04-27,86.01171112060547,86.03530686590571,85.99598662316538,85.99598662316538,16600
2007-04-30,86.02745819091797,86.04318269138744,86.01172769102061,86.01172769102061,11600
2007-05-01,86.05191802978516,86.05980715003324,86.01248446381595,86.05980715003324,55200
2007-05-02,86.09130859375,86.09919770950609,86.04397991684567,86.09130859375,116600
2007-05-03,86.09920501708984,86.1149772323085,86.0597654525942,86.10708811588283,56700
2007-05-04,86.11502075195312,86.12290987236568,86.0834702879386,86.11502075195312,15800
2007-05-07,86.09920501708984,86.12286634873416,86.09920501708984,86.09920501708984,8000
2007-05-08,86.1307601928711,86.13864931028097,86.12287709309463,86.12287709309463,9000
2007-05-09,86.17808532714844,86.17808532714844,86.14653487644296,86.1623070929791,48200
2007-05-10,86.18605041503906,86.20182866421817,86.1623890589093,86.18605041503906,42800
2007-05-11,86.19387817382812,86.2096564117739,86.18598905485524,86.19387817382812,11300
2007-05-14,86.20178985595703,86.22545120143441,86.18601161388133,86.20967897699488,18900
2007-05-15,86.2332992553711,86.24118235501857,86.19385968660042,86.2332992553711,206700
2007-05-16,86.28064727783203,86.28853639743109,86.25698593666995,86.27275815823297,14400
2007-05-17,86.28849029541016,86.29637941079423,86.2569398515057,86.2648289668898,16500
2007-05-18,86.29639434814453,86.30427744726126,86.24906566527964,86.29639434814453,37400
2007-05-21,86.29639434814453,86.30427744726126,86.27272699789563,86.27272699789563,30600
2007-05-22,86.29639434814453,86.3121665640109,86.28850523139491,86.30427744726126,6700
2007-05-23,86.34375762939453,86.3516467498552,86.33586850893387,86.34375762939453,21200
2007-05-24,86.35951232910156,86.35951232910156,86.33585099015652,86.35162922787623,4500
2007-05-25,86.37535095214844,86.38323405888488,86.34380047228649,86.38323405888488,38400
2007-05-29,86.38317108154297,86.38317108154297,86.35162664231711,86.35162664231711,13200
2007-05-30,86.42256164550781,86.42256164550781,86.39101120654033,86.39101120654033,10000
2007-05-31,86.4305191040039,86.44629132714397,86.40685776047599,86.40685776047599,15700
2007-06-01,86.44400024414062,86.44400024414062,86.42024850867978,86.43608098544551,16600
2007-06-04,86.48358917236328,86.48358917236328,86.44399892011862,86.45983139664185,63100
2007-06-05,86.47562408447266,86.48354333884951,86.44395310758641,86.45978557571894,20200
2007-06-06,86.491455078125,86.52312605447133,86.48354186450423,86.51520680022948,128100
2007-06-07,86.53111267089844,86.53111267089844,86.49152240949027,86.53111267089844,29000
2007-06-08,86.54695892333984,86.54695892333984,86.50737469625841,86.5390457022996,28800
2007-06-11,86.55486297607422,86.55486297607422,86.51527271532262,86.54694371579876,11800
2007-06-12,86.56275939941406,86.57067261697617,86.52316914910713,86.56275939941406,86100
2007-06-13,86.54695892333984,86.60238167375523,86.54695892333984,86.58654919104802,291800
2007-06-14,86.61022186279297,86.61022186279297,86.57063163122952,86.60230260835603,40100
2007-06-15,86.63400268554688,86.63400268554688,86.59441848130847,86.63400268554688,75300
2007-06-18,86.64192962646484,86.64192962646484,86.59442616091663,86.59442616091663,38000
2007-06-19,86.66565704345703,86.66565704345703,86.64982457292433,86.66565704345703,21600
2007-06-20,86.68941497802734,86.69733423417189,86.66566325021621,86.69733423417189,40600
2007-06-21,86.69729614257812,86.7131286072885,86.68146367786775,86.7131286072885,79300
2007-06-22,86.72110748291016,86.72110748291016,86.69735574920475,86.72110748291016,43400
2007-06-25,86.72898864746094,86.74482111610251,86.70523692418787,86.73690790209241,54100
2007-06-26,86.73689270019531,86.73689270019531,86.72105419370828,86.72105419370828,66100
2007-06-27,86.76065826416016,86.78440998706057,86.76065826416016,86.76065826416016,294200
2007-06-28,86.78437042236328,86.85562555857955,86.76853192056953,86.79228967326016,59700
2007-06-29,86.80816650390625,86.85566995233044,86.76857626980502,86.80024724896168,1669100
2007-07-02,86.81134033203125,86.83519518485498,86.7636306263838,86.83519518485498,1660500
2007-07-03,86.79545593261719,86.85111928893855,86.79545593261719,86.81931079006193,87900
2007-07-05,86.835205078125,86.8431587189223,86.7954490078392,86.835205078125,35800
2007-07-06,86.835205078125,86.8511123597196,86.81135022258346,86.8511123597196,45700
2007-07-09,86.85908508300781,86.85908508300781,86.84317779791847,86.85113144046313,18500
