Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
2000-01-03,13.7391996383667,13.7391996383667,14.127129981097054,13.642217052684112,14.127129981097054,380300
2000-01-04,13.480581283569336,13.480581283569336,13.609891415785828,13.383598684406966,13.609891415785828,722200
2000-01-05,13.83618450164795,13.83618450164795,13.83618450164795,13.448254095059688,13.512909162824398,337800
2000-01-06,14.369585990905762,14.369585990905762,14.401913518444358,13.836181786518935,13.836181786518935,133100
2000-01-07,14.52314281463623,14.52314281463623,14.69286234669375,14.321095752662995,14.321095752662995,468000
2000-01-10,14.401918411254883,14.401918411254883,14.52314668070989,14.28877202643021,14.52314668070989,122100
2000-01-11,14.418079376220703,14.418079376220703,14.515061972921739,14.25644171505231,14.401915610103865,144800
2000-01-12,14.353425025939941,14.353425025939941,14.401916326703251,14.256442424413319,14.401916326703251,57300
2000-01-13,14.60396957397461,14.60396957397461,14.64437900832429,14.337267307266716,14.450413723445822,149200
2000-01-14,14.51506233215332,14.51506233215332,14.531226098670196,14.321097133950827,14.531226098670196,35700
2000-01-18,14.69286823272705,14.69286823272705,14.773687089892766,14.41808411836362,14.41808411836362,110500
2000-01-19,14.644376754760742,14.644376754760742,14.806014467285694,14.628212983508245,14.64437675476074,190300
2000-01-20,14.644376754760742,14.644376754760742,14.692868068518226,14.450411499730798,14.692868068518226,344300
2000-01-21,15.048474311828613,15.048474311828613,15.121211298298245,14.886836564118315,14.967655437973464,483300
2000-01-24,14.51506233215332,14.51506233215332,15.19394052586205,14.498898565636447,15.145449226311428,296500
2000-01-25,14.482732772827148,14.482732772827148,15.242429692830356,14.385750187294823,14.547387829848697,57800
2000-01-26,14.256446838378906,14.256446838378906,14.628213592667699,14.256446838378906,14.385757013783703,46900
2000-01-27,13.965495109558105,13.965495109558105,14.418080599219712,13.77961178344709,14.30493422680431,1688800
2000-01-28,13.803861618041992,13.803861618041992,13.949335569520187,13.706878983723195,13.93317179713372,33100
2000-01-31,14.1271333694458,14.1271333694458,14.127133369445799,13.512910179469895,13.545237715784417,101600
2000-02-01,14.094809532165527,14.094809532165527,14.127137076964072,13.965499352971348,14.127137076964072,114200
2000-02-02,14.183711051940918,14.183711051940918,14.28069369161231,14.09481029890881,14.12713784546594,29400
2000-02-03,14.013986587524414,14.013986587524414,14.159460496737468,13.820021375240337,14.159460496737468,96800
2000-02-04,13.609891891479492,13.609891891479492,13.965494767503897,13.5290730560194,13.884675932043805,65600
2000-02-07,13.763446807861328,13.763446807861328,13.820019989103272,13.609891030204626,13.609891030204626,55300
2000-02-08,13.642218589782715,13.642218589782715,13.997821444018758,13.642218589782715,13.836183783002374,99400
2000-02-09,13.189632415771484,13.189632415771484,13.512907720079609,13.189632415771484,13.512907720079609,86200
2000-02-10,13.464417457580566,13.464417457580566,13.674546421504393,13.302779793023777,13.318943559479457,615000
2000-02-11,13.302780151367188,13.302780151367188,13.67454678986226,13.092651181783015,13.59372795540681,207800
2000-02-14,13.512906074523926,13.512906074523926,13.577561127512078,13.238122099324277,13.38359596854762,523000
2000-02-15,14.078644752502441,14.078644752502441,14.078644752502443,13.674550471431765,13.771533098888726,300700
2000-02-16,14.143303871154785,14.143303871154785,14.224122750418527,14.046321216038294,14.046321216038294,123900
2000-02-17,14.1271333694458,14.1271333694458,14.216034094310734,13.933168151558672,14.175624673917582,88000
