epoch,eval_episode_num,timestep,BND_weight,EMB_weight,SHV_weight,GLD_weight,DBC_weight,IWM_weight
5,1,1,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,2,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,3,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,4,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,5,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,6,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,7,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,8,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,9,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,10,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,11,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,12,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,13,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,14,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,15,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,16,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,17,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,18,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,19,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,20,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,21,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,22,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,23,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,24,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,25,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,26,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,27,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,28,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,29,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,30,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,31,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,32,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,33,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,34,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,35,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,36,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,37,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,38,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,39,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,1,40,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,1,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,2,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,3,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,4,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,5,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,6,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,7,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,8,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,9,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,10,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,11,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,12,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,13,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,14,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,15,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,16,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,17,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,18,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,19,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,20,0.25,0.0,4.889004132091479e-11,0.25,0.25,0.25
5,2,21,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,22,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,23,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,24,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,25,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,26,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,27,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,28,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,29,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,30,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,31,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,32,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,33,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,34,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,35,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,36,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,37,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,38,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,39,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
5,2,40,0.25,0.0,2.2147255140936295e-09,0.25,0.25,0.25
10,1,1,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,2,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,3,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,4,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,5,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,6,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,7,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,8,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,9,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,10,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,11,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,12,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,13,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,14,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,15,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,16,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
10,1,17,0.25,5.016369264421172e-12,7.684078373593195e-11,0.25,0.25,0.25
