Price,Close,High,Low,Open,Volume
Ticker,XLC,XLC,XLC,XLC,XLC
Date,,,,,
2018-06-19,46.89872741699219,46.89872741699219,46.99260212016097,46.54201428781213,46.6546603506609,16600
2018-06-20,47.48073959350586,47.48073959350586,47.77080400958819,47.35870427048087,47.35870427048087,190000
2018-06-21,47.18974304199219,47.18974304199219,47.734202105201625,47.124032527138546,47.6591059086351,428700
2018-06-22,47.396263122558594,47.396263122558594,47.508909206158584,47.114642542126965,47.490134262066185,181500
2018-06-25,46.41998291015625,46.41998291015625,47.152187752345846,46.01163597380601,47.152187752345846,2509600
2018-06-26,46.4969596862793,46.4969596862793,46.72976109476948,46.32610878411697,46.67343984832297,104000
2018-06-27,46.09142303466797,46.09142303466797,46.93627746135385,46.09142303466797,46.76730657601668,144900
2018-06-28,46.55140686035156,46.55140686035156,46.73915271353421,45.96939793834423,46.091429699101795,336500
2018-06-29,46.495079040527344,46.495079040527344,46.78608527329678,46.39181864886871,46.7485353888838,152300
2018-07-02,46.78609085083008,46.78609085083008,46.78609085083008,45.941236255590475,46.10082149289329,321300
2018-07-03,46.21346664428711,46.21346664428711,46.93628587649974,46.17497854609676,46.93628587649974,97500
2018-07-05,46.9174919128418,46.9174919128418,46.93626684929587,46.307322592372735,46.55138960436977,324900
2018-07-06,47.659114837646484,47.659114837646484,47.702297575906876,46.870584930715886,47.06771651220975,199800
2018-07-09,47.931339263916016,47.931339263916016,48.06276029919806,47.5464618401809,48.06276029919806,118100
2018-07-10,47.91162109375,47.91162109375,48.07214094963387,47.752974076946735,48.07214094963387,1153200
2018-07-11,47.84684753417969,47.84684753417969,48.09091462759951,47.54645561260722,47.59339117892401,227500
2018-07-12,48.59783172607422,48.59783172607422,48.59783172607422,48.00643351041282,48.15662948476045,361400
2018-07-13,48.52272033691406,48.52272033691406,48.625980715996775,48.296490009929414,48.60720577607686,80100
2018-07-16,48.38192367553711,48.38192367553711,48.60721583931142,48.297438218883144,48.60721583931142,200700
2018-07-17,48.39132308959961,48.39132308959961,48.51335846849899,47.61218239575449,47.696667876384,172600
2018-07-18,48.2504997253418,48.2504997253418,48.43824199012306,48.09091450313273,48.42885630926566,147800
2018-07-19,47.91256332397461,47.91256332397461,48.31621568450573,47.8806462759324,48.278665794932,258400
2018-07-20,47.75297164916992,47.75297164916992,48.049610723494574,47.724811026261484,47.921942548528705,158400
2018-07-23,47.95011520385742,47.95011520385742,47.96888656846888,47.546462826571535,47.8093049025885,94800
2018-07-24,48.28805160522461,48.28805160522461,48.916999723915595,48.025209539418896,48.916999723915595,211200
2018-07-25,48.63538360595703,48.63538360595703,48.696399492080545,48.231731236943894,48.372537954372305,604300
2018-07-26,46.80110549926758,46.80110549926758,46.95505788239557,46.532630619749185,46.701601524807735,833400
2018-07-27,45.91307067871094,45.91307067871094,46.776700125272285,45.65773790751282,46.720375298011504,1111200
2018-07-30,45.19026565551758,45.19026565551758,46.01634547582223,44.935871014665416,46.01634547582223,251300
2018-07-31,45.49065399169922,45.49065399169922,45.781660295367345,45.19026200511823,45.40616852166363,1211400
2018-08-01,45.302894592285156,45.302894592285156,45.790094110204485,45.17053537505853,45.58451512904104,1250400
2018-08-02,45.603294372558594,45.603294372558594,45.678390563412094,44.96496063600987,45.143317222621874,190700
2018-08-03,45.91307067871094,45.91307067871094,45.931845621131195,45.14331594425089,45.14331594425089,117200
2018-08-06,46.37305450439453,46.37305450439453,46.38244018648138,45.82859183853697,45.91307730113712,110200
2018-08-07,46.42937469482422,46.42937469482422,46.74760338269058,46.39182480542808,46.63589550554843,128800
2018-08-08,46.391822814941406,46.391822814941406,46.560793729019615,46.33362514411533,46.51385815976553,114200
2018-08-09,46.64527893066406,46.64527893066406,46.828330156420805,46.42937244851391,46.42937244851391,306400
2018-08-10,46.251014709472656,46.251014709472656,46.49508181079081,46.13836863047615,46.49508181079081,177600
2018-08-13,46.185306549072266,46.185306549072266,46.57018395444143,46.157142342173906,46.30734189641989,261000
2018-08-14,46.51385498046875,46.51385498046875,46.58895475090561,46.10081698592848,46.410594586595145,189800
2018-08-15,45.86613464355469,45.86613464355469,46.279172629709315,45.51880716472116,46.222851383979275,555100
2018-08-16,45.84736633300781,45.84736633300781,46.21816343849957,45.772266553232704,46.17591891713743,177600
2018-08-17,45.63145446777344,45.63145446777344,45.81920031416308,45.43432294049369,45.678390034132306,226900
2018-08-20,45.706565856933594,45.706565856933594,45.85676186780038,45.40711204550561,45.85676186780038,145800
2018-08-21,45.98817825317383,45.98817825317383,46.21347043854367,45.81920732366908,45.95062836196061,384900
2018-08-22,45.931854248046875,45.931854248046875,46.025725396824924,45.762883315482554,45.856754464260604,501900
2018-08-23,45.74410629272461,45.74410629272461,46.15714434193254,45.73472061065483,45.88491659045359,283700
2018-08-24,46.41060256958008,46.41060256958008,46.41060256958008,45.88491840991691,45.96001461231675,330900
2018-08-27,46.86118698120117,46.86118698120117,46.95412349321389,46.61805807575274,46.701605325079164,299200
2018-08-28,46.654666900634766,46.654666900634766,46.9926087175794,46.58989459968857,46.9926087175794,150200
2018-08-29,46.9174919128418,46.9174919128418,46.95504178574995,46.62648576923309,46.77668526086569,270900
2018-08-30,46.62650680541992,46.62650680541992,46.969143283624234,46.448150200067644,46.757931419892465,344400
2018-08-31,46.16653060913086,46.16653060913086,46.57956863153604,46.03698600305568,46.57956863153604,235000
2018-09-04,45.593910217285156,45.593910217285156,46.04449815573625,45.43432855575137,46.04449815573625,343700
2018-09-05,45.00251388549805,45.00251388549805,45.5469765722598,44.833542953810245,45.5469765722598,773600
2018-09-06,44.66456985473633,44.66456985473633,45.0400579805301,44.27968888579468,44.974347468992335,599600
2018-09-07,44.758445739746094,44.758445739746094,45.01190213154922,44.33601842007421,44.382953993158935,755700
2018-09-10,44.852317810058594,44.852317810058594,45.04006368722052,44.64485877693764,45.04006368722052,310900
2018-09-11,45.302894592285156,45.302894592285156,45.39676929818841,44.73966068068115,44.795985504223104,615700
2018-09-12,45.17148208618164,45.17148208618164,45.2935174363458,44.91802570397355,45.18087134901595,713300
2018-09-13,45.49065399169922,45.49065399169922,45.54697883204126,45.255972528373135,45.34984726227653,754500
2018-09-14,45.40616989135742,45.40616989135742,45.6596263091098,45.293523788230274,45.6596263091098,1190800
2018-09-17,44.964969635009766,44.964969635009766,45.45310392563511,44.92741974159092,45.45310392563511,810800
2018-09-18,45.28413391113281,45.28413391113281,45.443715577370675,44.96496699770237,45.01190257124558,430100
2018-09-19,45.40616989135742,45.40616989135742,45.453105469247475,45.049456634628946,45.33107368292434,2385200
2018-09-20,45.903690338134766,45.903690338134766,45.95062590916856,45.546973552559805,45.781654988683286,4554200
2018-09-21,45.698490142822266,45.698490142822266,46.159712330778305,45.57612448632014,46.14088656895899,7974600
2018-09-24,45.698490142822266,45.698490142822266,45.764378513866426,45.19020534564138,45.37845937318766,6769400
2018-09-25,45.717323303222656,45.717323303222656,45.79262636268648,45.41611824666239,45.689086451247476,3994500
2018-09-26,45.89616012573242,45.89616012573242,46.357382362626105,45.745557605845214,45.7926238107109,5688600
2018-09-27,46.29148864746094,46.29148864746094,46.62093049965426,46.01852048955968,46.17853766822993,3649400
2018-09-28,46.12205505371094,46.12205505371094,46.23500601989003,45.931919550894975,46.18794341653595,2306600
2018-10-01,45.93380355834961,45.93380355834961,46.32913734753755,45.717312698579875,46.28207115096644,7636900
