Price,Close,High,Low,Open,Volume
Ticker,XLI,XLI,XLI,XLI,XLI
Date,,,,,
2000-01-03,18.318470001220703,18.318470001220703,18.725326593880535,18.219236685937815,18.725326593880535,82800
2000-01-04,17.8123836517334,17.8123836517334,18.16962365811914,17.742920317158394,18.080313656522705,146900
2000-01-05,17.732986450195312,17.732986450195312,17.86198970920625,17.60398319118438,17.782603088276442,129200
2000-01-06,17.97115135192871,17.97115135192871,18.020768003921887,17.66352810957101,17.73299142236146,54000
2000-01-07,18.655864715576172,18.655864715576172,18.655864715576172,18.17954476539125,18.17954476539125,32900
2000-01-10,18.655864715576172,18.655864715576172,18.81463803230448,18.596324721803057,18.755098038531365,122500
2000-01-11,18.417709350585938,18.417709350585938,18.71540939396825,18.417709350585938,18.71540939396825,109800
2000-01-12,18.199392318725586,18.199392318725586,18.36808897598749,18.199392318725586,18.36808897598749,39900
2000-01-13,18.54670524597168,18.54670524597168,18.586398569130527,18.318468637808305,18.45739526886427,189700
2000-01-14,18.417709350585938,18.417709350585938,18.60625271139474,18.34824600713006,18.596329376615326,5700
2000-01-18,18.397857666015625,18.397857666015625,18.47724432261116,18.268854349047878,18.27877768112232,83600
2000-01-19,18.338319778442383,18.338319778442383,18.43755311057681,18.338319778442383,18.417706444149925,62800
2000-01-20,18.21923828125,18.21923828125,18.4177049291939,18.0207716333061,18.4177049291939,49600
2000-01-21,17.99099349975586,17.99099349975586,18.26884668121927,17.99099349975586,18.19938338585342,45700
2000-01-24,17.474987030029297,17.474987030029297,18.129926918718642,17.46506369838249,18.110080255425025,51600
2000-01-25,17.37575340270996,17.37575340270996,17.395600065648523,17.02843680128515,17.246750093609318,89700
2000-01-26,17.514684677124023,17.514684677124023,17.623841352165588,16.681124613170244,17.316217995230264,93400
2000-01-27,17.613910675048828,17.613910675048828,17.96122722357092,17.554370695302186,17.554370695302186,156000
2000-01-28,17.147518157958984,17.147518157958984,17.61391477452384,17.147518157958984,17.544451448652477,17600
2000-01-31,17.26659393310547,17.26659393310547,17.336057242031757,17.058204006326612,17.058204006326612,45700
2000-02-01,17.147518157958984,17.147518157958984,17.24675148063236,17.087978164354958,17.24675148063236,5500
2000-02-02,17.157442092895508,17.157442092895508,17.296368749518145,17.068132099352386,17.296368749518145,3500
2000-02-03,17.147518157958984,17.147518157958984,17.24675148063236,16.988744841681584,17.226904816097683,107900
2000-02-04,17.21697998046875,17.21697998046875,17.33605995727891,17.18720998626621,17.33605995727891,31400
2000-02-07,16.919267654418945,16.919267654418945,17.10781081303124,16.829957737181545,17.10781081303124,43800
2000-02-08,16.988744735717773,16.988744735717773,17.20705804423751,16.958974739101446,17.20705804423751,119600
2000-02-09,16.81012725830078,16.81012725830078,16.978823930904742,16.750587256205264,16.978823930904742,58400
